[0, 0, 0]
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[1, 0, 0]
           5	           0	         522
           4	           0	         526
           6	           0	         526
           7	           0	         529
           3	           0	         528
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[2, 0, 0]
           3	           0	         518
           5	           0	         520
           4	           0	         522
           6	           0	         524
           7	           0	         521
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[3, 0, 0]
           3	           0	         524
           5	           0	         519
           6	           0	         521
           7	           0	         528
           4	           0	         522
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[4, 0, 0]
           5	           0	         530
           4	           0	         523
           6	           0	         520
           7	           0	         522
           3	           0	         528
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[5, 0, 0]
           5	           0	         526
           4	           0	         527
           6	           0	         528
           7	           0	         520
           3	           0	         530
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[6, 0, 0]
           3	           0	         525
           5	           0	         526
           4	           0	         520
           6	           0	         522
           7	           0	         530
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[7, 0, 0]
           4	           0	         528
           6	           0	         523
           7	           0	         519
           3	           0	         526
           5	           0	         522
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0
           0	           0	           0

[8, 0, 0]
           3	           1	          99
           7	           1	         100
           6	           0	         529
           7	           0	         519
           3	           0	         522
           5	           0	         524
           4	           0	         528
           0	           0	           0
