[0, 0, 0]
           0	         315	        6569	        6486	        6472	        6516	        9274	        9093	        1760	        1832	        5523	        5231	        7571	        7652	        5164	        5278
         315	           0	        6549	        6488	        6179	        6195	        8996	        8760	        1397	        1665	        5021	        4953	        7412	        7165	        5131	        5211
        6501	        6510	           0	         315	        9246	        9007	        6484	        6200	        5581	        5353	        8145	        7433	        5295	        5347	        1684	        1908
        6503	        6514	         315	           0	        9073	        8768	        6147	        5883	        5569	        5316	        8019	        7244	        5100	        5141	        1613	        1744
        6507	        6187	        9270	        9051	           0	         315	        6487	        6475	        5329	        5375	        1686	        1768	        5572	        5256	        7553	        7574
        6431	        6176	        9091	        8776	         315	           0	        6169	        6170	        5265	        5296	        1366	        1660	        5319	        4938	        7390	        7415
        9324	        9014	        6523	        6117	        6488	        6145	           0	         315	        7724	        7408	        5381	        5449	        1690	        1852	        5610	        5406
        9077	        8756	        6188	        5865	        6489	        6162	         315	           0	        7495	        7165	        5330	        5407	        1476	        1748	        5319	        5089
        1631	        1393	        5604	        5601	        5335	        5254	        7665	        7481	           0	         315	        4080	        3838	        5977	        7038	        4088	        4055
        1871	        1642	        5317	        5284	        5387	        5299	        7435	        7224	         315	           0	        4120	        3848	        6690	        7425	        3777	        3805
        5519	        5118	        8108	        7979	        1667	        1454	        5365	        5327	        4111	        4087	           0	         315	        4171	        3805	        5974	        5697
        5231	        4942	        7500	        7224	        1860	        1695	        5430	        5395	        3838	        3866	         315	           0	        4201	        3882	        5784	        5750
        7540	        7353	        5320	        5126	        5541	        5260	        1601	        1519	        5926	        6634	        4153	        4211	           0	         315	        4157	        3916
        7763	        7105	        5390	        5197	        5263	        4982	        1910	        1747	        7288	        7409	        3818	        3871	         315	           0	        4212	        3860
        5224	        5148	        1694	        1628	        7538	        7353	        5568	        5339	        4073	        3743	        5996	        5796	        4199	        4213	           0	         315
        5154	        5183	        1900	        1798	        7605	        7382	        5363	        5091	        4050	        3779	        5522	        5646	        3903	        3846	         315	           0

[1, 0, 0]
           0	         315	        6575	        6488	        6477	        6508	        9278	        9018	        1861	        1999	        5493	        5252	        7464	        7226	        4964	        5048
         315	           0	        6550	        6490	        6221	        6188	        9026	        8764	        1588	        1795	        5258	        5021	        7231	        7031	        4871	        5005
        6504	        6514	           0	         315	        9294	        9040	        6475	        6202	        5627	        5401	        8744	        7964	        5138	        5191	        1893	        2005
        6548	        6517	         315	           0	        9268	        8734	        6176	        5867	        5570	        5335	        7118	        9155	        4880	        4915	        1788	        1951
        6510	        6222	        9229	        9349	           0	         315	        6489	        6477	        5129	        5186	        1876	        1995	        5624	        5306	        7443	        7252
        6515	        6178	        9021	        8736	         315	           0	        6166	        6136	        5066	        5094	        1656	        1793	        5388	        5006	        7169	        7070
        9296	        9020	        6523	        6157	        6501	        6143	           0	         315	        7706	        7301	        5241	        5222	        1881	        2035	        5621	        5435
        9054	        8760	        6184	        5863	        6489	        6116	         315	           0	        9104	        7069	        5132	        5186	        1628	        1846	        5389	        5320
        1832	        1597	        5640	        5639	        5100	        5055	        7786	        9067	           0	         315	        3903	        3639	        5567	        7376	        3912	        3865
        2022	        1733	        5359	        5333	        5185	        5104	        7297	        7017	         315	           0	        3877	        3701	        7356	        6030	        3608	        3574
        5546	        5275	        8820	        7094	        1828	        1570	        5186	        5125	        3907	        3862	           0	         315	        3975	        3651	        5709	        5542
        5276	        4993	        7586	        9242	        2003	        1795	        5196	        5155	        3650	        3659	         315	           0	        3954	        3699	        5502	        5516
        7442	        7208	        5118	        4880	        5620	        5307	        1747	        1660	        5420	        7419	        3970	        4008	           0	         315	        4021	        3695
        7218	        6973	        5190	        4964	        5336	        4989	        2074	        1910	        7371	        5910	        3659	        3706	         315	           0	        4025	        3653
        4997	        4943	        1898	        1827	        7376	        7173	        5694	        5463	        3900	        3569	        5689	        5518	        4014	        4003	           0	         315
        5027	        4972	        2098	        2041	        7302	        7192	        5434	        5240	        3881	        3560	        5540	        5626	        3728	        3703	         315	           0

[2, 0, 0]
           0	         315	        6574	        6487	        6436	        6511	        9269	        9023	        2023	        2176	        5528	        5291	        7140	        7034	        4789	        4872
         315	           0	        6555	        6452	        6175	        6203	        8997	        8760	        1759	        1914	        5331	        5091	        7128	        6803	        4716	        4732
        6504	        6509	           0	         315	        9188	        9089	        6483	        6196	        5717	        5454	        7121	        7172	        4925	        4987	        2037	        2289
        6508	        6512	         315	           0	        9068	        8848	        6180	        5944	        5650	        5411	        7029	        7125	        4668	        4725	        1972	        2147
        6510	        6177	        9250	        9096	           0	         315	        6486	        6478	        4940	        4977	        2033	        2177	        5659	        5366	        7127	        7068
        6521	        6181	        9047	        8731	         315	           0	        6198	        6163	        4850	        4882	        1862	        1964	        5443	        5055	        7064	        6888
        9311	        8962	        6521	        6125	        6477	        6202	           0	         315	        6797	        6982	        4998	        5023	        2061	        2173	        5702	        5469
        9093	        8757	        6190	        5882	        6493	        6153	         315	           0	        7110	        7075	        4914	        4938	        1773	        1978	        5478	        5257
        2002	        1725	        5720	        5677	        4929	        4844	        6715	        7131	           0	         315	        3604	        3451	        5458	        6671	        3669	        3571
        2123	        1934	        5462	        5370	        4984	        4921	        7045	        6936	         315	           0	        3387	        3440	        6928	        7106	        3478	        3385
        5578	        5342	        7157	        7079	        2014	        1774	        4940	        4897	        3641	        3443	           0	         315	        3770	        3436	        5443	        5139
        5335	        5057	        6842	        7074	        2175	        1979	        5028	        4988	        3458	        3452	         315	           0	        3771	        3475	        5264	        4886
        7191	        7130	        4911	        4676	        5656	        5374	        1991	        1852	        5468	        6377	        3766	        3771	           0	         315	        3867	        3597
        7176	        6793	        4990	        4783	        5372	        5126	        2235	        2011	        7392	        7038	        3411	        3460	         315	           0	        3831	        3489
        4810	        4710	        2095	        2024	        7129	        7024	        5792	        5485	        3745	        3383	        5456	        5303	        3848	        3792	           0	         315
        4847	        4758	        2267	        2157	        7134	        6882	        5508	        5264	        3677	        3346	        4984	        4912	        3602	        3504	         315	           0

[3, 0, 0]
           0	         315	        6558	        6490	        6478	        6509	        9230	        9017	        2237	        2276	        5648	        5407	        7789	        8290	        4520	        4631
