[0, 0, 0]
         NaN	         NaN	       16044	       15022	       16244	       15606	        3390	        3108	       64410	       60872	       14536	       23496	        4390	        3940	       19780	       20892
         NaN	         NaN	       15636	       16352	       17884	       18746	        3144	        3974	       64214	       64502	       20936	       26378	        3224	        5206	       21100	       22346
       16820	       16676	         NaN	         NaN	        1982	        3266	       19068	       20616	       21400	       25166	        3456	        4054	       20166	       18698	       63384	       63876
       14390	       17264	         NaN	         NaN	        3210	        3548	       21872	       27928	       21954	       25942	        5274	        2392	       24346	       25306	       62238	       63356
       18318	       18936	        4334	        5606	         NaN	         NaN	       17808	       16816	       20090	       18796	       63732	       57328	       19042	       24526	        4914	        2962
       22796	       24710	        3960	        4074	         NaN	         NaN	       22118	       22088	       23926	       24072	       64754	       64638	       20702	       33784	        4742	        4742
        3722	        2440	       17480	       18634	       14564	       16908	         NaN	         NaN	        5102	        2942	       18544	       17802	       62472	       64690	       12062	       18804
        3106	        3542	       20580	       26210	       14716	       17740	         NaN	         NaN	        2692	        5492	       14536	       16444	       63738	       64662	       18268	       27682
       61228	       63580	       16702	       17798	       13786	       14862	        3288	        2936	         NaN	         NaN	       19434	       33034	        4008	        2450	       24682	       26830
       52802	       58064	       19512	       21952	       14364	       15820	        3218	        4780	         NaN	         NaN	       22916	       31818	        3238	        4170	       26106	       31002
       15480	       19950	        3404	        5362	       54480	       60680	       16002	       14226	       22850	       25476	         NaN	         NaN	       17658	       23836	        3594	        3002
       21430	       21720	        4034	        2090	       44778	       53268	       16814	       17200	       32318	       31896	         NaN	         NaN	       23426	       32458	        3112	        1910
        4238	        2708	       17462	       20286	       15016	       15290	       58852	       64116	        3902	        3160	       17306	       21246	         NaN	         NaN	       21200	       25560
        3738	        4024	       18596	       21072	       18754	       25184	       54942	       61262	        2612	        4456	       27626	       28370	         NaN	         NaN	       20622	       31076
       17832	       20136	       55368	       57056	        4398	        3160	       11322	       16046	       24378	       31070	        2894	        2802	       18886	       23636	         NaN	         NaN
