[0, 0, 0]
         NaN	         NaN	       20046	       20640	        5172	        6076	       16388	       16322	       43732	       46976	        5040	        5988	       15384	       19556	       20838	       13866
         NaN	         NaN	       19338	       24470	        5202	        6284	       16728	       15276	       63470	       60464	        2706	        6426	       17208	       18004	       26410	       20664
       21898	       20056	         NaN	         NaN	       16736	       14984	        7996	        8022	       21090	       16198	       20278	       19304	        5146	        8412	       61334	       61928
       26256	       27526	         NaN	         NaN	       16200	       16268	        6732	        5910	       20298	       20148	       15478	       13866	        4526	        6330	       51284	       55448
        6226	        6126	       18920	       17928	         NaN	         NaN	       14066	       13576	        7054	        5010	       43004	       49036	       15220	       13782	       19964	       20484
        7186	        7752	       17226	       16636	         NaN	         NaN	       19190	       14202	        8604	        4738	       62646	       63558	       27686	       18084	       19412	       20338
       16560	       15460	        6354	        5576	       12152	       18376	         NaN	         NaN	       20490	       15240	       15590	       10014	       45758	       49000	        8352	        6280
       14412	       14818	        6844	        5818	       13316	       11906	         NaN	         NaN	       20932	       17314	       15358	       16972	       50290	       50848	        7524	        6728
       43204	       53572	       17032	       18284	        5456	        6952	       18764	       19960	         NaN	         NaN	        3836	        5974	       21118	       26998	       23874	       24690
       51164	       58978	       14360	       16262	        3756	        3888	       15380	       15026	         NaN	         NaN	        6604	        5040	       19348	       20324	       23068	       23202
        3684	        2164	       24118	       16902	       41248	       61726	       19552	       17340	        4474	        7150	         NaN	         NaN	       26292	       19286	       26482	       27626
        7090	        6948	       20430	       13018	       47278	       59858	       11306	       17606	        7862	        6198	         NaN	         NaN	       27746	       22184	       21442	       24844
       17676	       14768	        4532	        3984	       13280	       20252	       46666	       49894	       25574	       21944	       20458	       20630	         NaN	         NaN	        4672	        5290
       17086	       17458	        6182	        5902	        8636	       14124	       50244	       52178	       25914	       24100	       16596	       17600	         NaN	         NaN	        7898	        5556
       18582	       23296	       51704	       42198	       16374	       13238	        7838	        8270	       25272	       26882	       21836	       18494	        4390	        6676	         NaN	         NaN
       13304	       19976	       56112	       47188	       18932	       15796	        6696	        6354	       23520	       24058	       25304	       22532	        5268	        5568	         NaN	         NaN

[1, 0, 0]
         NaN	         NaN	       19902	       19840	        5004	        5946	       16970	       15362	       51220	       55890	        3160	        5932	       18278	       19240	       16830	       16546
         NaN	         NaN	       19050	       25126	        5002	        5832	       14584	       15400	       62258	       64260	        2716	        5560	       17264	       17590	       23284	       21798
       21496	       19774	         NaN	         NaN	       15294	       16254	        6886	        7988	       20486	       19468	       24168	       16050	        5424	        7714	       63946	       63530
       25186	       27136	         NaN	         NaN	       17964	       16024	        6010	        5528	       23244	       20188	       17826	       13210	        4076	        6358	       51286	       52492
        7059	        6046	       19038	       18530	         NaN	         NaN	       14430	       15800	        6898	        4802	       39914	       47096	       16952	       14120	       20216	       19390
        7424	        7706	       16780	       16872	         NaN	         NaN	       23144	       14484	        9684	        5394	       61164	       63198	       24394	       17584	       16554	       19454
       16852	       13354	        6388	        5630	       12036	       18200	         NaN	         NaN	       20446	       13722	       16116	        9824	       43860	       48312	        8320	        6566
       14486	       14798	        6036	        5748	       13560	       11774	         NaN	         NaN	       23316	       14286	       15058	       14390	       52394	       57740	        7766	        6622
       44182	       56248	       17132	       17552	        4870	        6672	       18480	       21462	         NaN	         NaN	        4104	        6460	       22470	       22588	       27568	       24620
       51464	       63480	       14686	       16186	        3750	        3466	       14418	       14826	         NaN	         NaN	        6344	        5290	       20972	       19704	       26048	       23982
        3418	        3054	       23944	       16652	       41228	       61596	       19030	       17042	        4554	        7464	         NaN	         NaN	       25756	       20524	       26312	       29256
        6846	        5938	       19788	       13474	       43206	       62604	       11758	       18900	        7876	        6222	         NaN	         NaN	       27190	       20500	       19224	       23864
       15958	       13652	        4348	        3796	       13096	       21568	       45456	       50522	       24150	       18586	       22206	       23474	         NaN	         NaN	        4596	        4742
       19172	       17532	        7200	        6346	        8616	       14006	       50716	       53364	       27538	       22816	       18174	       17376	         NaN	         NaN	        7618	        6260
